ID,FULL_NAME,FIRST_DEPTH_NAME,SECOND_DEPTH_NAME,THIRD_DEPTH_NAME,FOURTH_DEPTH_NAME
138,서울특별시 중구 을지로6가,서울특별시,중구,을지로6가,""
139,서울특별시 중구 을지로7가,서울특별시,중구,을지로7가,""
140,서울특별시 중구 을지로4가,서울특별시,중구,을지로4가,""
141,서울특별시 중구 을지로5가,서울특별시,중구,을지로5가,""
142,서울특별시 중구 주교동,서울특별시,중구,주교동,""
143,서울특별시 중구 방산동,서울특별시,중구,방산동,""
144,서울특별시 중구 오장동,서울특별시,중구,오장동,""
145,서울특별시 중구 을지로3가,서울특별시,중구,을지로3가,""
146,서울특별시 중구 입정동,서울특별시,중구,입정동,""
147,서울특별시 중구 산림동,서울특별시,중구,산림동,""
148,서울특별시 중구 충무로3가,서울특별시,중구,충무로3가,""
149,서울특별시 중구 초동,서울특별시,중구,초동,""
150,서울특별시 중구 인현동1가,서울특별시,중구,인현동1가,""
151,서울특별시 중구 저동2가,서울특별시,중구,저동2가,""
152,서울특별시 중구 신당동,서울특별시,중구,신당동,""
153,서울특별시 중구 흥인동,서울특별시,중구,흥인동,""
154,서울특별시 중구 무학동,서울특별시,중구,무학동,""
155,서울특별시 중구 황학동,서울특별시,중구,황학동,""
156,서울특별시 중구 서소문동,서울특별시,중구,서소문동,""
157,서울특별시 중구 정동,서울특별시,중구,정동,""
158,서울특별시 중구 순화동,서울특별시,중구,순화동,""
159,서울특별시 중구 의주로1가,서울특별시,중구,의주로1가,""
160,서울특별시 중구 충정로1가,서울특별시,중구,충정로1가,""
161,서울특별시 중구 중림동,서울특별시,중구,중림동,""
162,서울특별시 중구 의주로2가,서울특별시,중구,의주로2가,""
163,서울특별시 중구 만리동1가,서울특별시,중구,만리동1가,""
164,서울특별시 중구 만리동2가,서울특별시,중구,만리동2가,""
165,서울특별시 용산구,서울특별시,용산구,"",""
166,서울특별시 용산구 후암동,서울특별시,용산구,후암동,""
167,서울특별시 용산구 용산동2가,서울특별시,용산구,용산동2가,""
168,서울특별시 용산구 용산동4가,서울특별시,용산구,용산동4가,""
169,서울특별시 용산구 갈월동,서울특별시,용산구,갈월동,""
170,서울특별시 용산구 남영동,서울특별시,용산구,남영동,""
171,서울특별시 용산구 용산동1가,서울특별시,용산구,용산동1가,""
172,서울특별시 용산구 동자동,서울특별시,용산구,동자동,""
173,서울특별시 용산구 서계동,서울특별시,용산구,서계동,""
174,서울특별시 용산구 청파동1가,서울특별시,용산구,청파동1가,""
175,서울특별시 용산구 청파동2가,서울특별시,용산구,청파동2가,""
176,서울특별시 용산구 청파동3가,서울특별시,용산구,청파동3가,""
177,서울특별시 용산구 원효로1가,서울특별시,용산구,원효로1가,""
178,서울특별시 용산구 원효로2가,서울특별시,용산구,원효로2가,""
